Column1,library_area,library_nm,library_addr,Latitude,Longitude,library_tel,library_hompage
0,강서구,강서기적의도서관,강서구 명지오션시티10로 80(명지동),35.087463,128.9066545,051-970-2317,https://library.bsgangseo.go.kr/intro.php
1,강서구,강서도서관,강서구 공항로811번길 10,35.1802062,128.9572162,051-970-4068,https://library.bsgangseo.go.kr/intro.php
2,강서구,지사도서관,강서구 과학산단2로20번길 5(지사문화회관 3층),35.1516079,128.8311284,051-970-2777,https://library.bsgangseo.go.kr/jslib/
3,금정구,금정도서관,금정구 청룡동 금정도서관로 33,35.272745,129.0961372,051-519-5601,https://library.geumjeong.go.kr/index.geumj
4,금정구,서동도서관,금정구 서부로76번길 5,35.2198733,129.0994741,051-522-0456,https://home.pen.go.kr/seodonglib/main.do
5,기장군,고촌어울림도서관,기장군 기장읍 차성서로 86(백두공원 내),35.2408341,129.2105895,051-709-5381~2,https://library.gijang.go.kr/gochon/main.do
6,기장군,기장도서관,기장군 기장읍 차성동로 126번길 13-5,35.2496248,129.2166958,051-709-5327,https://library.gijang.go.kr/main.do
7,기장군,기장디지털도서관,기장군 기장읍 기장대로 560 기장군청 7층,35.2443043,129.2225796,051-709-5071,http://dlib.gijang.go.kr/main.do
8,기장군,내리새라도서관,기장군 기장읍 기장대로 51,35.2019347,129.2061791,051-709-3967~3969,https://library.gijang.go.kr/naeri/main.do
9,기장군,대라다목적도서관,기장군 기장읍 차성서로 86,35.2408341,129.2105895,051-709-3961,https://library.gijang.go.kr/main.do
10,기장군,정관도서관,기장군 정관읍 정관중앙로 100,35.326496,129.184521,051-709-3918,https://library.gijang.go.kr/main.do
11,기장군,정관어린이도서관,기장군 정관읍 정관8로 11,35.3234833,129.1782952,051-709-5386,http://jgchildlib.gijang.go.kr/main.do
12,남구,남구도서관,남구 수영로267번길 61,35.1379688,129.0947961,051-607-6566,http://library.bsnamgu.go.kr/
13,남구,분포도서관,"남구 분포로 97, 분포도서관 (용호동)",35.1320729,129.1152268,051-607-6578,http://library.bsnamgu.go.kr/
14,동구,동구도서관,동구 성북로36번길 54,35.1376953,129.0514151,051-440-6421,http://www.bsdonggu.go.kr/library/index.donggu
15,동구,동구어린이영어도서관,동구 수성로21,35.1346055,129.041901,051-440-6476,http://www.bsdonggu.go.kr/kidseng/index.donggu
16,동구,중앙도서관수정분관,동구 홍곡로 53번지,35.1245964,129.0405332,051-440-0300,https://home.pen.go.kr/joonganglib/main.do
